stateA,stateB,Direction,Value,A_state,A_long,A_lat,B_state,B_long,B_lat
Alabama,Alabama,in-mover,0,Alabama,-86.8287,32.7794,Alabama,-86.8287,32.7794
Alabama,Alabama,out-mover,0,Alabama,-86.8287,32.7794,Alabama,-86.8287,32.7794
Alaska,Alabama,in-mover,484,Alaska,-152.2782,64.0685,Alabama,-86.8287,32.7794
Alaska,Alabama,out-mover,658,Alaska,-152.2782,64.0685,Alabama,-86.8287,32.7794
Arizona,Alabama,in-mover,1478,Arizona,-111.6602,34.2744,Alabama,-86.8287,32.7794
Arizona,Alabama,out-mover,1444,Arizona,-111.6602,34.2744,Alabama,-86.8287,32.7794
Arkansas,Alabama,in-mover,932,Arkansas,-92.4426,34.8938,Alabama,-86.8287,32.7794
Arkansas,Alabama,out-mover,1041,Arkansas,-92.4426,34.8938,Alabama,-86.8287,32.7794
California,Alabama,in-mover,3987,California,-119.4696,37.1841,Alabama,-86.8287,32.7794
California,Alabama,out-mover,3737,California,-119.4696,37.1841,Alabama,-86.8287,32.7794
Colorado,Alabama,in-mover,2972,Colorado,-105.5478,38.9972,Alabama,-86.8287,32.7794
Colorado,Alabama,out-mover,1958,Colorado,-105.5478,38.9972,Alabama,-86.8287,32.7794
Connecticut,Alabama,in-mover,555,Connecticut,-72.7273,41.6219,Alabama,-86.8287,32.7794
Connecticut,Alabama,out-mover,650,Connecticut,-72.7273,41.6219,Alabama,-86.8287,32.7794
Delaware,Alabama,in-mover,154,Delaware,-75.505,38.9896,Alabama,-86.8287,32.7794
Delaware,Alabama,out-mover,185,Delaware,-75.505,38.9896,Alabama,-86.8287,32.7794
Florida,Alabama,in-mover,12843,Florida,-82.4497,28.6305,Alabama,-86.8287,32.7794
Florida,Alabama,out-mover,15275,Florida,-82.4497,28.6305,Alabama,-86.8287,32.7794
Georgia,Alabama,in-mover,15935,Georgia,-83.4426,32.6415,Alabama,-86.8287,32.7794
Georgia,Alabama,out-mover,21046,Georgia,-83.4426,32.6415,Alabama,-86.8287,32.7794
Hawaii,Alabama,in-mover,650,Hawaii,-156.3737,20.2927,Alabama,-86.8287,32.7794
Hawaii,Alabama,out-mover,696,Hawaii,-156.3737,20.2927,Alabama,-86.8287,32.7794
Idaho,Alabama,in-mover,145,Idaho,-114.613,44.3509,Alabama,-86.8287,32.7794
Idaho,Alabama,out-mover,66,Idaho,-114.613,44.3509,Alabama,-86.8287,32.7794
Illinois,Alabama,in-mover,1699,Illinois,-89.1965,40.0417,Alabama,-86.8287,32.7794
Illinois,Alabama,out-mover,2756,Illinois,-89.1965,40.0417,Alabama,-86.8287,32.7794
Indiana,Alabama,in-mover,1385,Indiana,-86.2816,39.8942,Alabama,-86.8287,32.7794
Indiana,Alabama,out-mover,2050,Indiana,-86.2816,39.8942,Alabama,-86.8287,32.7794
Iowa,Alabama,in-mover,343,Iowa,-93.496,42.0751,Alabama,-86.8287,32.7794
Iowa,Alabama,out-mover,640,Iowa,-93.496,42.0751,Alabama,-86.8287,32.7794
Kansas,Alabama,in-mover,674,Kansas,-98.3804,38.4937,Alabama,-86.8287,32.7794
Kansas,Alabama,out-mover,951,Kansas,-98.3804,38.4937,Alabama,-86.8287,32.7794
Kentucky,Alabama,in-mover,2606,Kentucky,-85.3021,37.5347,Alabama,-86.8287,32.7794
Kentucky,Alabama,out-mover,2166,Kentucky,-85.3021,37.5347,Alabama,-86.8287,32.7794
Louisiana,Alabama,in-mover,3167,Louisiana,-91.9968,31.0689,Alabama,-86.8287,32.7794
Louisiana,Alabama,out-mover,2402,Louisiana,-91.9968,31.0689,Alabama,-86.8287,32.7794
Maine,Alabama,in-mover,158,Maine,-69.2428,45.3695,Alabama,-86.8287,32.7794
Maine,Alabama,out-mover,89,Maine,-69.2428,45.3695,Alabama,-86.8287,32.7794
Maryland,Alabama,in-mover,1131,Maryland,-76.7909,39.055,Alabama,-86.8287,32.7794
Maryland,Alabama,out-mover,1088,Maryland,-76.7909,39.055,Alabama,-86.8287,32.7794
Massachusetts,Alabama,in-mover,549,Massachusetts,-71.8083,42.2596,Alabama,-86.8287,32.7794
Massachusetts,Alabama,out-mover,625,Massachusetts,-71.8083,42.2596,Alabama,-86.8287,32.7794
Michigan,Alabama,in-mover,1975,Michigan,-85.4102,44.3467,Alabama,-86.8287,32.7794
Michigan,Alabama,out-mover,2136,Michigan,-85.4102,44.3467,Alabama,-86.8287,32.7794
Minnesota,Alabama,in-mover,424,Minnesota,-94.3053,46.2807,Alabama,-86.8287,32.7794
Minnesota,Alabama,out-mover,338,Minnesota,-94.3053,46.2807,Alabama,-86.8287,32.7794
